REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,BEBM00X00,1,2051,2.327755063
REGION1,BEBM00X00,1,2052,2.327755063
REGION1,BEBM00X00,1,2053,2.327755063
REGION1,BEBM00X00,1,2054,2.327755063
REGION1,BEBM00X00,1,2055,2.327755063
REGION1,BEBM00X00,1,2056,2.327755063
REGION1,BEBM00X00,1,2057,2.327755063
REGION1,BEBM00X00,1,2058,2.327755063
REGION1,BEBM00X00,1,2059,2.327755063
REGION1,BEBM00X00,1,2060,2.327755063
REGION1,BEBMCCPH1,1,2015,0.008364
REGION1,BEBMCCPH1,1,2016,0.008364
REGION1,BEBMCCPH1,1,2017,0.008364
REGION1,BEBMCCPH1,1,2018,0.008364
REGION1,BEBMCCPH1,1,2019,0.008364
REGION1,BEBMCCPH1,1,2020,0.008364
REGION1,BEBMCCPH1,1,2021,0.008364
REGION1,BEBMCCPH1,1,2022,0.008364
REGION1,BEBMCCPH1,1,2023,0.008364
REGION1,BEBMCCPH1,1,2024,0.008364
REGION1,BEBMCCPH1,1,2025,0.008364
REGION1,BEBMCCPH1,1,2026,0.008364
REGION1,BEBMCCPH1,1,2027,0.008364
REGION1,BEBMCCPH1,1,2028,0.008364
REGION1,BEBMCCPH1,1,2029,0.008364
REGION1,BEBMCCPH1,1,2030,0.008364
REGION1,BEBMCCPH1,1,2031,0.008364
REGION1,BEBMCCPH1,1,2032,0.008364
REGION1,BEBMCCPH1,1,2033,0.008364
REGION1,BEBMCCPH1,1,2034,0.008364
REGION1,BEBMCCPH1,1,2035,0.008364
REGION1,BEBMCCPH1,1,2036,0.008364
REGION1,BEBMCCPH1,1,2037,0.008364
REGION1,BEBMCCPH1,1,2038,0.008364
REGION1,BEBMCCPH1,1,2039,0.008364
REGION1,BEBMCCPH1,1,2040,0.008364
REGION1,BEBMCCPH1,1,2041,0.008364
REGION1,BEBMCCPH1,1,2042,0.008364
REGION1,BEBMCCPH1,1,2043,0.008364
REGION1,BEBMCCPH1,1,2044,0.008364
REGION1,BEBMCCPH1,1,2045,0.008364
REGION1,BEBMCCPH1,1,2046,0.008364
REGION1,BEBMCCPH1,1,2047,0.008364
REGION1,BEBMCCPH1,1,2048,0.008364
REGION1,BEBMCCPH1,1,2049,0.008364
REGION1,BEBMCCPH1,1,2050,0.008364
REGION1,BEBMCCPH1,1,2051,0.008364
REGION1,BEBMCCPH1,1,2052,0.008364
REGION1,BEBMCCPH1,1,2053,0.008364
REGION1,BEBMCCPH1,1,2054,0.008364
REGION1,BEBMCCPH1,1,2055,0.008364
REGION1,BEBMCCPH1,1,2056,0.008364
REGION1,BEBMCCPH1,1,2057,0.008364
REGION1,BEBMCCPH1,1,2058,0.008364
REGION1,BEBMCCPH1,1,2059,0.008364
REGION1,BEBMCCPH1,1,2060,0.008364
REGION1,BEBMCHPH3,1,2015,0.003366
REGION1,BEBMCHPH3,1,2016,0.003366
REGION1,BEBMCHPH3,1,2017,0.003366
REGION1,BEBMCHPH3,1,2018,0.003366
REGION1,BEBMCHPH3,1,2019,0.003366
REGION1,BEBMCHPH3,1,2020,0.003366
REGION1,BEBMCHPH3,1,2021,0.003366
REGION1,BEBMCHPH3,1,2022,0.003366
REGION1,BEBMCHPH3,1,2023,0.003366
REGION1,BEBMCHPH3,1,2024,0.003366
REGION1,BEBMCHPH3,1,2025,0.003366
REGION1,BEBMCHPH3,1,2026,0.003366
REGION1,BEBMCHPH3,1,2027,0.003366
REGION1,BEBMCHPH3,1,2028,0.003366
REGION1,BEBMCHPH3,1,2029,0.003366
REGION1,BEBMCHPH3,1,2030,0.003366
REGION1,BEBMCHPH3,1,2031,0.003366
REGION1,BEBMCHPH3,1,2032,0.003366
REGION1,BEBMCHPH3,1,2033,0.003366
REGION1,BEBMCHPH3,1,2034,0.003366
REGION1,BEBMCHPH3,1,2035,0.003366
REGION1,BEBMCHPH3,1,2036,0.003366
REGION1,BEBMCHPH3,1,2037,0.003366
REGION1,BEBMCHPH3,1,2038,0.003366
REGION1,BEBMCHPH3,1,2039,0.003366
REGION1,BEBMCHPH3,1,2040,0.003366
REGION1,BEBMCHPH3,1,2041,0.003366
REGION1,BEBMCHPH3,1,2042,0.003366
REGION1,BEBMCHPH3,1,2043,0.003366
REGION1,BEBMCHPH3,1,2044,0.003366
REGION1,BEBMCHPH3,1,2045,0.003366
REGION1,BEBMCHPH3,1,2046,0.003366
REGION1,BEBMCHPH3,1,2047,0.003366
REGION1,BEBMCHPH3,1,2048,0.003366
REGION1,BEBMCHPH3,1,2049,0.003366
REGION1,BEBMCHPH3,1,2050,0.003366
REGION1,BEBMCHPH3,1,2051,0.003366
REGION1,BEBMCHPH3,1,2052,0.003366
REGION1,BEBMCHPH3,1,2053,0.003366
REGION1,BEBMCHPH3,1,2054,0.003366
REGION1,BEBMCHPH3,1,2055,0.003366
REGION1,BEBMCHPH3,1,2056,0.003366
REGION1,BEBMCHPH3,1,2057,0.003366
REGION1,BEBMCHPH3,1,2058,0.003366
REGION1,BEBMCHPH3,1,2059,0.003366
REGION1,BEBMCHPH3,1,2060,0.003366
REGION1,BEBMCSPN2,1,2015,0.00612
REGION1,BEBMCSPN2,1,2016,0.00612
REGION1,BEBMCSPN2,1,2017,0.00612
REGION1,BEBMCSPN2,1,2018,0.00612
REGION1,BEBMCSPN2,1,2019,0.00612
REGION1,BEBMCSPN2,1,2020,0.00612
REGION1,BEBMCSPN2,1,2021,0.00612
REGION1,BEBMCSPN2,1,2022,0.00612
REGION1,BEBMCSPN2,1,2023,0.00612
REGION1,BEBMCSPN2,1,2024,0.00612
REGION1,BEBMCSPN2,1,2025,0.00612
REGION1,BEBMCSPN2,1,2026,0.00612
REGION1,BEBMCSPN2,1,2027,0.00612
REGION1,BEBMCSPN2,1,2028,0.00612
REGION1,BEBMCSPN2,1,2029,0.00612
REGION1,BEBMCSPN2,1,2030,0.00612
REGION1,BEBMCSPN2,1,2031,0.00612
REGION1,BEBMCSPN2,1,2032,0.00612
REGION1,BEBMCSPN2,1,2033,0.00612
REGION1,BEBMCSPN2,1,2034,0.00612
REGION1,BEBMCSPN2,1,2035,0.00612
REGION1,BEBMCSPN2,1,2036,0.00612
REGION1,BEBMCSPN2,1,2037,0.00612
REGION1,BEBMCSPN2,1,2038,0.00612
REGION1,BEBMCSPN2,1,2039,0.00612
REGION1,BEBMCSPN2,1,2040,0.00612
REGION1,BEBMCSPN2,1,2041,0.00612
REGION1,BEBMCSPN2,1,2042,0.00612
REGION1,BEBMCSPN2,1,2043,0.00612
REGION1,BEBMCSPN2,1,2044,0.00612
REGION1,BEBMCSPN2,1,2045,0.00612
REGION1,BEBMCSPN2,1,2046,0.00612
REGION1,BEBMCSPN2,1,2047,0.00612
REGION1,BEBMCSPN2,1,2048,0.00612
REGION1,BEBMCSPN2,1,2049,0.00612
REGION1,BEBMCSPN2,1,2050,0.00612
REGION1,BEBMCSPN2,1,2051,0.00612
REGION1,BEBMCSPN2,1,2052,0.00612
REGION1,BEBMCSPN2,1,2053,0.00612
REGION1,BEBMCSPN2,1,2054,0.00612
REGION1,BEBMCSPN2,1,2055,0.00612
REGION1,BEBMCSPN2,1,2056,0.00612
REGION1,BEBMCSPN2,1,2057,0.00612
REGION1,BEBMCSPN2,1,2058,0.00612
REGION1,BEBMCSPN2,1,2059,0.00612
REGION1,BEBMCSPN2,1,2060,0.00612
REGION1,BECO00I00,1,2015,2.61450974
REGION1,BECO00I00,1,2016,2.696567808
REGION1,BECO00I00,1,2017,2.778625877
REGION1,BECO00I00,1,2018,2.860683946
REGION1,BECO00I00,1,2019,2.942742014
REGION1,BECO00I00,1,2020,3.024800083
REGION1,BECO00I00,1,2021,3.102056881
REGION1,BECO00I00,1,2022,3.17931368
REGION1,BECO00I00,1,2023,3.256570479
REGION1,BECO00I00,1,2024,3.333827277
REGION1,BECO00I00,1,2025,3.411084076
REGION1,BECO00I00,1,2026,3.488340875
REGION1,BECO00I00,1,2027,3.565597673
REGION1,BECO00I00,1,2028,3.642854472
REGION1,BECO00I00,1,2029,3.720111271
REGION1,BECO00I00,1,2030,3.797368069
REGION1,BECO00I00,1,2031,3.797368069
REGION1,BECO00I00,1,2032,3.797368069
REGION1,BECO00I00,1,2033,3.797368069
REGION1,BECO00I00,1,2034,3.797368069
REGION1,BECO00I00,1,2035,3.797368069
REGION1,BECO00I00,1,2036,3.797368069
REGION1,BECO00I00,1,2037,3.797368069
REGION1,BECO00I00,1,2038,3.797368069
REGION1,BECO00I00,1,2039,3.797368069
REGION1,BECO00I00,1,2040,3.797368069
REGION1,BECO00I00,1,2041,3.797368069
REGION1,BECO00I00,1,2042,3.797368069
REGION1,BECO00I00,1,2043,3.797368069
REGION1,BECO00I00,1,2044,3.797368069
REGION1,BECO00I00,1,2045,3.797368069
REGION1,BECO00I00,1,2046,3.797368069
REGION1,BECO00I00,1,2047,3.797368069
REGION1,BECO00I00,1,2048,3.797368069
REGION1,BECO00I00,1,2049,3.797368069
REGION1,BECO00I00,1,2050,3.797368069
REGION1,BECO00I00,1,2051,3.797368069
REGION1,BECO00I00,1,2052,3.797368069
REGION1,BECO00I00,1,2053,3.797368069
REGION1,BECO00I00,1,2054,3.797368069
REGION1,BECO00I00,1,2055,3.797368069
REGION1,BECO00I00,1,2056,3.797368069
REGION1,BECO00I00,1,2057,3.797368069
REGION1,BECO00I00,1,2058,3.797368069
REGION1,BECO00I00,1,2059,3.797368069
REGION1,BECO00I00,1,2060,3.797368069
REGION1,BECOCHPH3,1,2015,0.005202
REGION1,BECOCHPH3,1,2016,0.005202
REGION1,BECOCHPH3,1,2017,0.005202
REGION1,BECOCHPH3,1,2018,0.005202
REGION1,BECOCHPH3,1,2019,0.005202
REGION1,BECOCHPH3,1,2020,0.005202
REGION1,BECOCHPH3,1,2021,0.005202
REGION1,BECOCHPH3,1,2022,0.005202
REGION1,BECOCHPH3,1,2023,0.005202
REGION1,BECOCHPH3,1,2024,0.005202
REGION1,BECOCHPH3,1,2025,0.005202
REGION1,BECOCHPH3,1,2026,0.005202
REGION1,BECOCHPH3,1,2027,0.005202
REGION1,BECOCHPH3,1,2028,0.005202
REGION1,BECOCHPH3,1,2029,0.005202
REGION1,BECOCHPH3,1,2030,0.005202
REGION1,BECOCHPH3,1,2031,0.005202
REGION1,BECOCHPH3,1,2032,0.005202
REGION1,BECOCHPH3,1,2033,0.005202
REGION1,BECOCHPH3,1,2034,0.005202
REGION1,BECOCHPH3,1,2035,0.005202
REGION1,BECOCHPH3,1,2036,0.005202
REGION1,BECOCHPH3,1,2037,0.005202
REGION1,BECOCHPH3,1,2038,0.005202
REGION1,BECOCHPH3,1,2039,0.005202
REGION1,BECOCHPH3,1,2040,0.005202
REGION1,BECOCHPH3,1,2041,0.005202
REGION1,BECOCHPH3,1,2042,0.005202
REGION1,BECOCHPH3,1,2043,0.005202
REGION1,BECOCHPH3,1,2044,0.005202
REGION1,BECOCHPH3,1,2045,0.005202
REGION1,BECOCHPH3,1,2046,0.005202
REGION1,BECOCHPH3,1,2047,0.005202
REGION1,BECOCHPH3,1,2048,0.005202
REGION1,BECOCHPH3,1,2049,0.005202
REGION1,BECOCHPH3,1,2050,0.005202
REGION1,BECOCHPH3,1,2051,0.005202
REGION1,BECOCHPH3,1,2052,0.005202
REGION1,BECOCHPH3,1,2053,0.005202
REGION1,BECOCHPH3,1,2054,0.005202
REGION1,BECOCHPH3,1,2055,0.005202
REGION1,BECOCHPH3,1,2056,0.005202
REGION1,BECOCHPH3,1,2057,0.005202
REGION1,BECOCHPH3,1,2058,0.005202
REGION1,BECOCHPH3,1,2059,0.005202
REGION1,BECOCHPH3,1,2060,0.005202
REGION1,BECOCSPN2,1,2015,0.00561
REGION1,BECOCSPN2,1,2016,0.00561
REGION1,BECOCSPN2,1,2017,0.00561
REGION1,BECOCSPN2,1,2018,0.00561
REGION1,BECOCSPN2,1,2019,0.00561
REGION1,BECOCSPN2,1,2020,0.00561
REGION1,BECOCSPN2,1,2021,0.00561
REGION1,BECOCSPN2,1,2022,0.00561
REGION1,BECOCSPN2,1,2023,0.00561
REGION1,BECOCSPN2,1,2024,0.00561
REGION1,BECOCSPN2,1,2025,0.00561
REGION1,BECOCSPN2,1,2026,0.00561
REGION1,BECOCSPN2,1,2027,0.00561
REGION1,BECOCSPN2,1,2028,0.00561
REGION1,BECOCSPN2,1,2029,0.00561
REGION1,BECOCSPN2,1,2030,0.00561
REGION1,BECOCSPN2,1,2031,0.00561
REGION1,BECOCSPN2,1,2032,0.00561
REGION1,BECOCSPN2,1,2033,0.00561
REGION1,BECOCSPN2,1,2034,0.00561
REGION1,BECOCSPN2,1,2035,0.00561
REGION1,BECOCSPN2,1,2036,0.00561
REGION1,BECOCSPN2,1,2037,0.00561
REGION1,BECOCSPN2,1,2038,0.00561
REGION1,BECOCSPN2,1,2039,0.00561
REGION1,BECOCSPN2,1,2040,0.00561
REGION1,BECOCSPN2,1,2041,0.00561
REGION1,BECOCSPN2,1,2042,0.00561
REGION1,BECOCSPN2,1,2043,0.00561
REGION1,BECOCSPN2,1,2044,0.00561
REGION1,BECOCSPN2,1,2045,0.00561
REGION1,BECOCSPN2,1,2046,0.00561
REGION1,BECOCSPN2,1,2047,0.00561
REGION1,BECOCSPN2,1,2048,0.00561
REGION1,BECOCSPN2,1,2049,0.00561
REGION1,BECOCSPN2,1,2050,0.00561
REGION1,BECOCSPN2,1,2051,0.00561
REGION1,BECOCSPN2,1,2052,0.00561
REGION1,BECOCSPN2,1,2053,0.00561
REGION1,BECOCSPN2,1,2054,0.00561
REGION1,BECOCSPN2,1,2055,0.00561
REGION1,BECOCSPN2,1,2056,0.00561
REGION1,BECOCSPN2,1,2057,0.00561
REGION1,BECOCSPN2,1,2058,0.00561
REGION1,BECOCSPN2,1,2059,0.00561
REGION1,BECOCSPN2,1,2060,0.00561
REGION1,BEHF00I00,1,2015,8.848033205
REGION1,BEHF00I00,1,2016,9.129238908
REGION1,BEHF00I00,1,2017,9.410444611
REGION1,BEHF00I00,1,2018,9.691650314
REGION1,BEHF00I00,1,2019,9.972856017
REGION1,BEHF00I00,1,2020,10.25406172
REGION1,BEHF00I00,1,2021,10.67628779
REGION1,BEHF00I00,1,2022,11.09851386
REGION1,BEHF00I00,1,2023,11.52073993
REGION1,BEHF00I00,1,2024,11.942966
REGION1,BEHF00I00,1,2025,12.36519207
REGION1,BEHF00I00,1,2026,12.78741814
REGION1,BEHF00I00,1,2027,13.20964421
REGION1,BEHF00I00,1,2028,13.63187029
REGION1,BEHF00I00,1,2029,14.05409636
REGION1,BEHF00I00,1,2030,14.47632243
REGION1,BEHF00I00,1,2031,14.47632243
REGION1,BEHF00I00,1,2032,14.47632243
REGION1,BEHF00I00,1,2033,14.47632243
REGION1,BEHF00I00,1,2034,14.47632243
REGION1,BEHF00I00,1,2035,14.47632243
REGION1,BEHF00I00,1,2036,14.47632243
REGION1,BEHF00I00,1,2037,14.47632243
REGION1,BEHF00I00,1,2038,14.47632243
REGION1,BEHF00I00,1,2039,14.47632243
REGION1,BEHF00I00,1,2040,14.47632243
REGION1,BEHF00I00,1,2041,14.47632243
REGION1,BEHF00I00,1,2042,14.47632243
REGION1,BEHF00I00,1,2043,14.47632243
REGION1,BEHF00I00,1,2044,14.47632243
REGION1,BEHF00I00,1,2045,14.47632243
REGION1,BEHF00I00,1,2046,14.47632243
REGION1,BEHF00I00,1,2047,14.47632243
REGION1,BEHF00I00,1,2048,14.47632243
REGION1,BEHF00I00,1,2049,14.47632243
REGION1,BEHF00I00,1,2050,14.47632243
REGION1,BEHF00I00,1,2051,14.47632243
REGION1,BEHF00I00,1,2052,14.47632243
REGION1,BEHF00I00,1,2053,14.47632243
REGION1,BEHF00I00,1,2054,14.47632243
REGION1,BEHF00I00,1,2055,14.47632243
REGION1,BEHF00I00,1,2056,14.47632243
REGION1,BEHF00I00,1,2057,14.47632243
REGION1,BEHF00I00,1,2058,14.47632243
REGION1,BEHF00I00,1,2059,14.47632243
REGION1,BEHF00I00,1,2060,14.47632243
REGION1,BEHFCCPH2,1,2015,0.00204
REGION1,BEHFCCPH2,1,2016,0.00204
REGION1,BEHFCCPH2,1,2017,0.00204
REGION1,BEHFCCPH2,1,2018,0.00204
REGION1,BEHFCCPH2,1,2019,0.00204
REGION1,BEHFCCPH2,1,2020,0.00204
REGION1,BEHFCCPH2,1,2021,0.00204
REGION1,BEHFCCPH2,1,2022,0.00204
REGION1,BEHFCCPH2,1,2023,0.00204
REGION1,BEHFCCPH2,1,2024,0.00204
REGION1,BEHFCCPH2,1,2025,0.00204
REGION1,BEHFCCPH2,1,2026,0.00204
REGION1,BEHFCCPH2,1,2027,0.00204
REGION1,BEHFCCPH2,1,2028,0.00204
REGION1,BEHFCCPH2,1,2029,0.00204
REGION1,BEHFCCPH2,1,2030,0.00204
REGION1,BEHFCCPH2,1,2031,0.00204
REGION1,BEHFCCPH2,1,2032,0.00204
REGION1,BEHFCCPH2,1,2033,0.00204
REGION1,BEHFCCPH2,1,2034,0.00204
REGION1,BEHFCCPH2,1,2035,0.00204
REGION1,BEHFCCPH2,1,2036,0.00204
REGION1,BEHFCCPH2,1,2037,0.00204
REGION1,BEHFCCPH2,1,2038,0.00204
REGION1,BEHFCCPH2,1,2039,0.00204
REGION1,BEHFCCPH2,1,2040,0.00204
REGION1,BEHFCCPH2,1,2041,0.00204
REGION1,BEHFCCPH2,1,2042,0.00204
REGION1,BEHFCCPH2,1,2043,0.00204
REGION1,BEHFCCPH2,1,2044,0.00204
REGION1,BEHFCCPH2,1,2045,0.00204
REGION1,BEHFCCPH2,1,2046,0.00204
REGION1,BEHFCCPH2,1,2047,0.00204
REGION1,BEHFCCPH2,1,2048,0.00204
REGION1,BEHFCCPH2,1,2049,0.00204
REGION1,BEHFCCPH2,1,2050,0.00204
REGION1,BEHFCCPH2,1,2051,0.00204
REGION1,BEHFCCPH2,1,2052,0.00204
REGION1,BEHFCCPH2,1,2053,0.00204
REGION1,BEHFCCPH2,1,2054,0.00204
REGION1,BEHFCCPH2,1,2055,0.00204
REGION1,BEHFCCPH2,1,2056,0.00204
REGION1,BEHFCCPH2,1,2057,0.00204
REGION1,BEHFCCPH2,1,2058,0.00204
REGION1,BEHFCCPH2,1,2059,0.00204
REGION1,BEHFCCPH2,1,2060,0.00204
REGION1,BEHFGCPH3,1,2015,0.01326
REGION1,BEHFGCPH3,1,2016,0.01326
REGION1,BEHFGCPH3,1,2017,0.01326
REGION1,BEHFGCPH3,1,2018,0.01326
REGION1,BEHFGCPH3,1,2019,0.01326
REGION1,BEHFGCPH3,1,2020,0.01326
REGION1,BEHFGCPH3,1,2021,0.01326
REGION1,BEHFGCPH3,1,2022,0.01326
REGION1,BEHFGCPH3,1,2023,0.01326
REGION1,BEHFGCPH3,1,2024,0.01326
REGION1,BEHFGCPH3,1,2025,0.01326
REGION1,BEHFGCPH3,1,2026,0.01326
REGION1,BEHFGCPH3,1,2027,0.01326
REGION1,BEHFGCPH3,1,2028,0.01326
REGION1,BEHFGCPH3,1,2029,0.01326
REGION1,BEHFGCPH3,1,2030,0.01326
REGION1,BEHFGCPH3,1,2031,0.01326
REGION1,BEHFGCPH3,1,2032,0.01326
REGION1,BEHFGCPH3,1,2033,0.01326
REGION1,BEHFGCPH3,1,2034,0.01326
REGION1,BEHFGCPH3,1,2035,0.01326
REGION1,BEHFGCPH3,1,2036,0.01326
REGION1,BEHFGCPH3,1,2037,0.01326
REGION1,BEHFGCPH3,1,2038,0.01326
REGION1,BEHFGCPH3,1,2039,0.01326
REGION1,BEHFGCPH3,1,2040,0.01326
REGION1,BEHFGCPH3,1,2041,0.01326
REGION1,BEHFGCPH3,1,2042,0.01326
REGION1,BEHFGCPH3,1,2043,0.01326
REGION1,BEHFGCPH3,1,2044,0.01326
REGION1,BEHFGCPH3,1,2045,0.01326
REGION1,BEHFGCPH3,1,2046,0.01326
REGION1,BEHFGCPH3,1,2047,0.01326
REGION1,BEHFGCPH3,1,2048,0.01326
REGION1,BEHFGCPH3,1,2049,0.01326
REGION1,BEHFGCPH3,1,2050,0.01326
REGION1,BEHFGCPH3,1,2051,0.01326
REGION1,BEHFGCPH3,1,2052,0.01326
REGION1,BEHFGCPH3,1,2053,0.01326
REGION1,BEHFGCPH3,1,2054,0.01326
REGION1,BEHFGCPH3,1,2055,0.01326
REGION1,BEHFGCPH3,1,2056,0.01326
REGION1,BEHFGCPH3,1,2057,0.01326
REGION1,BEHFGCPH3,1,2058,0.01326
REGION1,BEHFGCPH3,1,2059,0.01326
REGION1,BEHFGCPH3,1,2060,0.01326
REGION1,BEHFGCPN3,1,2015,0.01122
REGION1,BEHFGCPN3,1,2016,0.01122
REGION1,BEHFGCPN3,1,2017,0.01122
REGION1,BEHFGCPN3,1,2018,0.01122
REGION1,BEHFGCPN3,1,2019,0.01122
REGION1,BEHFGCPN3,1,2020,0.01122
REGION1,BEHFGCPN3,1,2021,0.01122
REGION1,BEHFGCPN3,1,2022,0.01122
REGION1,BEHFGCPN3,1,2023,0.01122
REGION1,BEHFGCPN3,1,2024,0.01122
REGION1,BEHFGCPN3,1,2025,0.01122
REGION1,BEHFGCPN3,1,2026,0.01122
REGION1,BEHFGCPN3,1,2027,0.01122
REGION1,BEHFGCPN3,1,2028,0.01122
REGION1,BEHFGCPN3,1,2029,0.01122
REGION1,BEHFGCPN3,1,2030,0.01122
REGION1,BEHFGCPN3,1,2031,0.01122
REGION1,BEHFGCPN3,1,2032,0.01122
REGION1,BEHFGCPN3,1,2033,0.01122
REGION1,BEHFGCPN3,1,2034,0.01122
REGION1,BEHFGCPN3,1,2035,0.01122
REGION1,BEHFGCPN3,1,2036,0.01122
REGION1,BEHFGCPN3,1,2037,0.01122
REGION1,BEHFGCPN3,1,2038,0.01122
REGION1,BEHFGCPN3,1,2039,0.01122
REGION1,BEHFGCPN3,1,2040,0.01122
REGION1,BEHFGCPN3,1,2041,0.01122
REGION1,BEHFGCPN3,1,2042,0.01122
REGION1,BEHFGCPN3,1,2043,0.01122
REGION1,BEHFGCPN3,1,2044,0.01122
REGION1,BEHFGCPN3,1,2045,0.01122
REGION1,BEHFGCPN3,1,2046,0.01122
REGION1,BEHFGCPN3,1,2047,0.01122
REGION1,BEHFGCPN3,1,2048,0.01122
REGION1,BEHFGCPN3,1,2049,0.01122
REGION1,BEHFGCPN3,1,2050,0.01122
REGION1,BEHFGCPN3,1,2051,0.01122
REGION1,BEHFGCPN3,1,2052,0.01122
REGION1,BEHFGCPN3,1,2053,0.01122
REGION1,BEHFGCPN3,1,2054,0.01122
REGION1,BEHFGCPN3,1,2055,0.01122
REGION1,BEHFGCPN3,1,2056,0.01122
REGION1,BEHFGCPN3,1,2057,0.01122
REGION1,BEHFGCPN3,1,2058,0.01122
REGION1,BEHFGCPN3,1,2059,0.01122
REGION1,BEHFGCPN3,1,2060,0.01122
REGION1,BEHFHPFH1,1,2015,0.015322598
REGION1,BEHFHPFH1,1,2016,0.015322598
REGION1,BEHFHPFH1,1,2017,0.015322598
REGION1,BEHFHPFH1,1,2018,0.015322598
REGION1,BEHFHPFH1,1,2019,0.015322598
REGION1,BEHFHPFH1,1,2020,0.015322598
REGION1,BEHFHPFH1,1,2021,0.015322598
REGION1,BEHFHPFH1,1,2022,0.015322598
REGION1,BEHFHPFH1,1,2023,0.015322598
REGION1,BEHFHPFH1,1,2024,0.015322598
REGION1,BEHFHPFH1,1,2025,0.015322598
REGION1,BEHFHPFH1,1,2026,0.015322598
REGION1,BEHFHPFH1,1,2027,0.015322598
REGION1,BEHFHPFH1,1,2028,0.015322598
REGION1,BEHFHPFH1,1,2029,0.015322598
REGION1,BEHFHPFH1,1,2030,0.015322598
REGION1,BEHFHPFH1,1,2031,0.015322598
REGION1,BEHFHPFH1,1,2032,0.015322598
REGION1,BEHFHPFH1,1,2033,0.015322598
REGION1,BEHFHPFH1,1,2034,0.015322598
REGION1,BEHFHPFH1,1,2035,0.015322598
REGION1,BEHFHPFH1,1,2036,0.015322598
REGION1,BEHFHPFH1,1,2037,0.015322598
REGION1,BEHFHPFH1,1,2038,0.015322598
REGION1,BEHFHPFH1,1,2039,0.015322598
REGION1,BEHFHPFH1,1,2040,0.015322598
REGION1,BEHFHPFH1,1,2041,0.015322598
REGION1,BEHFHPFH1,1,2042,0.015322598
REGION1,BEHFHPFH1,1,2043,0.015322598
REGION1,BEHFHPFH1,1,2044,0.015322598
REGION1,BEHFHPFH1,1,2045,0.015322598
REGION1,BEHFHPFH1,1,2046,0.015322598
REGION1,BEHFHPFH1,1,2047,0.015322598
REGION1,BEHFHPFH1,1,2048,0.015322598
REGION1,BEHFHPFH1,1,2049,0.015322598
REGION1,BEHFHPFH1,1,2050,0.015322598
REGION1,BEHFHPFH1,1,2051,0.015322598
REGION1,BEHFHPFH1,1,2052,0.015322598
REGION1,BEHFHPFH1,1,2053,0.015322598
REGION1,BEHFHPFH1,1,2054,0.015322598
REGION1,BEHFHPFH1,1,2055,0.015322598
REGION1,BEHFHPFH1,1,2056,0.015322598
REGION1,BEHFHPFH1,1,2057,0.015322598
REGION1,BEHFHPFH1,1,2058,0.015322598
REGION1,BEHFHPFH1,1,2059,0.015322598
REGION1,BEHFHPFH1,1,2060,0.015322598
REGION1,BEHFHPPH2,1,2015,0.015322598
REGION1,BEHFHPPH2,1,2016,0.015322598
REGION1,BEHFHPPH2,1,2017,0.015322598
REGION1,BEHFHPPH2,1,2018,0.015322598
REGION1,BEHFHPPH2,1,2019,0.015322598
REGION1,BEHFHPPH2,1,2020,0.015322598
REGION1,BEHFHPPH2,1,2021,0.015322598
REGION1,BEHFHPPH2,1,2022,0.015322598
REGION1,BEHFHPPH2,1,2023,0.015322598
REGION1,BEHFHPPH2,1,2024,0.015322598
REGION1,BEHFHPPH2,1,2025,0.015322598
REGION1,BEHFHPPH2,1,2026,0.015322598
REGION1,BEHFHPPH2,1,2027,0.015322598
REGION1,BEHFHPPH2,1,2028,0.015322598
REGION1,BEHFHPPH2,1,2029,0.015322598
REGION1,BEHFHPPH2,1,2030,0.015322598
REGION1,BEHFHPPH2,1,2031,0.015322598
REGION1,BEHFHPPH2,1,2032,0.015322598
REGION1,BEHFHPPH2,1,2033,0.015322598
REGION1,BEHFHPPH2,1,2034,0.015322598
REGION1,BEHFHPPH2,1,2035,0.015322598
REGION1,BEHFHPPH2,1,2036,0.015322598
REGION1,BEHFHPPH2,1,2037,0.015322598
REGION1,BEHFHPPH2,1,2038,0.015322598
REGION1,BEHFHPPH2,1,2039,0.015322598
REGION1,BEHFHPPH2,1,2040,0.015322598
REGION1,BEHFHPPH2,1,2041,0.015322598
REGION1,BEHFHPPH2,1,2042,0.015322598
REGION1,BEHFHPPH2,1,2043,0.015322598
REGION1,BEHFHPPH2,1,2044,0.015322598
REGION1,BEHFHPPH2,1,2045,0.015322598
REGION1,BEHFHPPH2,1,2046,0.015322598
REGION1,BEHFHPPH2,1,2047,0.015322598
REGION1,BEHFHPPH2,1,2048,0.015322598
REGION1,BEHFHPPH2,1,2049,0.015322598
REGION1,BEHFHPPH2,1,2050,0.015322598
REGION1,BEHFHPPH2,1,2051,0.015322598
REGION1,BEHFHPPH2,1,2052,0.015322598
REGION1,BEHFHPPH2,1,2053,0.015322598
REGION1,BEHFHPPH2,1,2054,0.015322598
REGION1,BEHFHPPH2,1,2055,0.015322598
REGION1,BEHFHPPH2,1,2056,0.015322598
REGION1,BEHFHPPH2,1,2057,0.015322598
REGION1,BEHFHPPH2,1,2058,0.015322598
REGION1,BEHFHPPH2,1,2059,0.015322598
REGION1,BEHFHPPH2,1,2060,0.015322598
REGION1,BEHYDMPH0,1,2015,0.0051
REGION1,BEHYDMPH0,1,2016,0.0051
